case_id,side_mapping_corrected,destination_file,source_file
600072,False,600072-RightHipBone.stl,600072-RightHipBone.stl
600072,False,600072-Sacrum.stl,600072-Sacrum.stl
600073,False,600073-LeftHipBone.stl,600073-LeftHipBone.stl
600073,False,600073-RightHipBone.stl,600073-RightHipBone.stl
600073,False,600073-Sacrum.stl,600073-Sacrum.stl
600074,False,600074-LeftHipBone.stl,600074-LeftHipBone.stl
600074,False,600074-RightHipBone.stl,600074-RightHipBone.stl
600074,False,600074-Sacrum.stl,600074-Sacrum.stl
600076,False,600076-LeftHipBone.stl,600076-LeftHipBone.stl
600076,False,600076-RightHipBone.stl,600076-RightHipBone.stl
600076,False,600076-Sacrum.stl,600076-Sacrum.stl
600077,True,600077-LeftHipBone.stl,600077-RightHipBone.stl
600077,True,600077-RightHipBone.stl,600077-LeftHipBone.stl
600077,True,600077-Sacrum.stl,600077-Sacrum.stl
600079,False,600079-LeftHipBone.stl,600079-LeftHipBone.stl
600079,False,600079-RightHipBone.stl,600079-RightHipBone.stl
600079,False,600079-Sacrum.stl,600079-Sacrum.stl
600080,True,600080-LeftHipBone.stl,600080-RightHipBone.stl
600080,True,600080-RightHipBone.stl,600080-LeftHipBone.stl
600080,True,600080-Sacrum.stl,600080-Sacrum.stl
600081,False,600081-LeftHipBone.stl,600081-LeftHipBone.stl
600081,False,600081-RightHipBone.stl,600081-RightHipBone.stl
600081,False,600081-Sacrum.stl,600081-Sacrum.stl
600083,False,600083-LeftHipBone.stl,600083-LeftHipBone.stl
600083,False,600083-RightHipBone.stl,600083-RightHipBone.stl
600083,False,600083-Sacrum.stl,600083-Sacrum.stl
600085,True,600085-LeftHipBone.stl,600085-RightHipBone.stl
600085,True,600085-RightHipBone.stl,600085-LeftHipBone.stl
600085,True,600085-Sacrum.stl,600085-Sacrum.stl
600086,True,600086-LeftHipBone.stl,600086-RightHipBone.stl
600086,True,600086-RightHipBone.stl,600086-LeftHipBone.stl
600086,True,600086-Sacrum.stl,600086-Sacrum.stl
600087,True,600087-LeftHipBone.stl,600087-RightHipBone.stl
600087,True,600087-RightHipBone.stl,600087-LeftHipBone.stl
600087,True,600087-Sacrum.stl,600087-Sacrum.stl
600088,True,600088-LeftHipBone.stl,600088-RightHipBone.stl
600088,True,600088-RightHipBone.stl,600088-LeftHipBone.stl
600088,True,600088-Sacrum.stl,600088-Sacrum.stl
600089,False,600089-LeftHipBone.stl,600089-LeftHipBone.stl
600089,False,600089-RightHipBone.stl,600089-RightHipBone.stl
600089,False,600089-Sacrum.stl,600089-Sacrum.stl
600090,False,600090-LeftHipBone.stl,600090-LeftHipBone.stl
600090,False,600090-RightHipBone.stl,600090-RightHipBone.stl
600090,False,600090-Sacrum.stl,600090-Sacrum.stl
600091,False,600091-LeftHipBone.stl,600091-LeftHipBone.stl
600091,False,600091-RightHipBone.stl,600091-RightHipBone.stl
600091,False,600091-Sacrum.stl,600091-Sacrum.stl
600092,False,600092-LeftHipBone.stl,600092-LeftHipBone.stl
600092,False,600092-RightHipBone.stl,600092-RightHipBone.stl
600092,False,600092-Sacrum.stl,600092-Sacrum.stl
600093,True,600093-LeftHipBone.stl,600093-RightHipBone.stl
600093,True,600093-RightHipBone.stl,600093-LeftHipBone.stl
600093,True,600093-Sacrum.stl,600093-Sacrum.stl
600096,True,600096-LeftHipBone.stl,600096-RightHipBone.stl
600096,True,600096-RightHipBone.stl,600096-LeftHipBone.stl
600096,True,600096-Sacrum.stl,600096-Sacrum.stl
600097,True,600097-LeftHipBone.stl,600097-RightHipBone.stl
600097,True,600097-RightHipBone.stl,600097-LeftHipBone.stl
600097,True,600097-Sacrum.stl,600097-Sacrum.stl
600098,False,600098-LeftHipBone.stl,600098-LeftHipBone.stl
600098,False,600098-RightHipBone.stl,600098-RightHipBone.stl
600098,False,600098-Sacrum.stl,600098-Sacrum.stl
600099,True,600099-LeftHipBone.stl,600099-RightHipBone.stl
600099,True,600099-RightHipBone.stl,600099-LeftHipBone.stl
600099,True,600099-Sacrum.stl,600099-Sacrum.stl
600100,True,600100-LeftHipBone.stl,600100-RightHipBone.stl
600100,True,600100-RightHipBone.stl,600100-LeftHipBone.stl
600100,True,600100-Sacrum.stl,600100-Sacrum.stl
600101,False,600101-LeftHipBone.stl,600101-LeftHipBone.stl
600101,False,600101-RightHipBone.stl,600101-RightHipBone.stl
600101,False,600101-Sacrum.stl,600101-Sacrum.stl
600102,True,600102-LeftHipBone.stl,600102-RightHipBone.stl
600102,True,600102-RightHipBone.stl,600102-LeftHipBone.stl
600102,True,600102-Sacrum.stl,600102-Sacrum.stl
600103,True,600103-LeftHipBone.stl,600103-RightHipBone.stl
600103,True,600103-RightHipBone.stl,600103-LeftHipBone.stl
600103,True,600103-Sacrum.stl,600103-Sacrum.stl
600104,False,600104-LeftHipBone.stl,600104-LeftHipBone.stl
600104,False,600104-RightHipBone.stl,600104-RightHipBone.stl
600104,False,600104-Sacrum.stl,600104-Sacrum.stl
600105,True,600105-LeftHipBone.stl,600105-RightHipBone.stl
600105,True,600105-RightHipBone.stl,600105-LeftHipBone.stl
600105,True,600105-Sacrum.stl,600105-Sacrum.stl
600107,False,600107-LeftHipBone.stl,600107-LeftHipBone.stl
600107,False,600107-RightHipBone.stl,600107-RightHipBone.stl
600107,False,600107-Sacrum.stl,600107-Sacrum.stl
600108,True,600108-LeftHipBone.stl,600108-RightHipBone.stl
600108,True,600108-RightHipBone.stl,600108-LeftHipBone.stl
600108,True,600108-Sacrum.stl,600108-Sacrum.stl
600109,False,600109-LeftHipBone.stl,600109-LeftHipBone.stl
600109,False,600109-RightHipBone.stl,600109-RightHipBone.stl
600109,False,600109-Sacrum.stl,600109-Sacrum.stl
600110,False,600110-LeftHipBone.stl,600110-LeftHipBone.stl
600110,False,600110-RightHipBone.stl,600110-RightHipBone.stl
600110,False,600110-Sacrum.stl,600110-Sacrum.stl
600111,True,600111-LeftHipBone.stl,600111-RightHipBone.stl
600111,True,600111-RightHipBone.stl,600111-LeftHipBone.stl
600111,True,600111-Sacrum.stl,600111-Sacrum.stl
600112,False,600112-LeftHipBone.stl,600112-LeftHipBone.stl
600112,False,600112-RightHipBone.stl,600112-RightHipBone.stl
600112,False,600112-Sacrum.stl,600112-Sacrum.stl
600114,True,600114-LeftHipBone.stl,600114-RightHipBone.stl
600114,True,600114-RightHipBone.stl,600114-LeftHipBone.stl
600114,True,600114-Sacrum.stl,600114-Sacrum.stl
600115,True,600115-LeftHipBone.stl,600115-RightHipBone.stl
600115,True,600115-RightHipBone.stl,600115-LeftHipBone.stl
600115,True,600115-Sacrum.stl,600115-Sacrum.stl
600116,True,600116-LeftHipBone.stl,600116-RightHipBone.stl
600116,True,600116-RightHipBone.stl,600116-LeftHipBone.stl
600116,True,600116-Sacrum.stl,600116-Sacrum.stl
600119,False,600119-LeftHipBone.stl,600119-LeftHipBone.stl
600119,False,600119-RightHipBone.stl,600119-RightHipBone.stl
600119,False,600119-Sacrum.stl,600119-Sacrum.stl
600120,True,600120-LeftHipBone.stl,600120-RightHipBone.stl
600120,True,600120-RightHipBone.stl,600120-LeftHipBone.stl
600120,True,600120-Sacrum.stl,600120-Sacrum.stl
600121,False,600121-LeftHipBone.stl,600121-LeftHipBone.stl
600121,False,600121-RightHipBone.stl,600121-RightHipBone.stl
600121,False,600121-Sacrum.stl,600121-Sacrum.stl
600122,False,600122-LeftHipBone.stl,600122-LeftHipBone.stl
600122,False,600122-RightHipBone.stl,600122-RightHipBone.stl
600122,False,600122-Sacrum.stl,600122-Sacrum.stl
600123,True,600123-LeftHipBone.stl,600123-RightHipBone.stl
600123,True,600123-RightHipBone.stl,600123-LeftHipBone.stl
600123,True,600123-Sacrum.stl,600123-Sacrum.stl
600124,True,600124-LeftHipBone.stl,600124-RightHipBone.stl
600124,True,600124-RightHipBone.stl,600124-LeftHipBone.stl
600124,True,600124-Sacrum.stl,600124-Sacrum.stl
600125,False,600125-LeftHipBone.stl,600125-LeftHipBone.stl
600125,False,600125-RightHipBone.stl,600125-RightHipBone.stl
